time,state,players
275.385,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
275.481,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
275.598,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
275.701,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
275.800,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
275.913,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.016,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.119,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.225,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.324,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.427,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.532,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.630,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.747,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.850,Patrol,Player(Clone):0.000:True;Girl(Clone):0.000:False
276.954,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.055,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.156,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.260,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.362,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.463,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.566,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.667,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.769,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.871,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
277.972,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.073,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.173,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.273,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.376,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.476,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.579,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.683,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.787,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.890,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
278.994,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.097,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.201,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.304,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.407,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.511,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.614,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.719,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.822,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
279.921,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.025,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.128,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.232,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.335,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.439,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.543,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.646,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.746,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.846,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
280.949,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.053,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.157,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.259,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.359,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.460,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.561,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.663,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.765,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.865,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
281.967,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.067,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.171,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.271,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.375,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.479,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.582,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.685,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.785,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.889,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
282.993,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.096,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.200,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.304,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.407,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.511,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.614,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.714,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.818,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
283.922,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.026,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.128,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.228,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.332,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.435,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
